"Generic_Info_Loading","Loading button","กำลังเริ่ม"
"Generic_Button_Back","Back button","กลับ"
"Generic_Button_Cancel","Cancel button","ยกเลิก"
"Generic_Button_Submit","Submit button","ตกลง"
"Login_Label_Username","Username label","ชื่อ"
"Login_Label_Password","Password label","รหัสผ่าน"
"Login_Button_Login","Login button text","เข้าสู่ระบบ"
"Login_Error_InvalidCredentials","Invalid Credentials warning","ชื่อบัญชีผิดพลาดหรือรหัสผ่านไม่ถูกต้อง"
"Login_Error_NoConnectivity","No network connection warning","การเชื่อมต่ออินเตอร์เนตมีปัญหา"
"Register_Button_Register","Register account button text","ลงทะเบียน"
"Register_Label_Email","Register account email input label","อีเมล์"
"CreateGame_Label_Anonymous","Create game ""Anonymous"" setting label","ไม่ระบุชื่อ"
"CreateGame_Label_Players","Create game ""Players"" number slider label","จำนวนผู้เล่น"
"CreateGame_Label_Ranked","Create game ""Ranked"" mode toggle label","ระดับผู้เล่น"
"CreateGame_Label_Title","""Create Game"" title label","ชื่อเกมส์"
"Game_EventPanel_Title","""Events"" in game panel title","เหตุการณ์"
"Game_GuiPanel_Chat","""Chat"" in game panel title","แชท"
"Game_GuiPanel_Events","""Events"" in game GUI panel title","เหตุการณ์"
"Game_GuiPanel_Log","""Logs"" in game GUI panel title","ลำดับเหตุการณ์"
"Game_GuiPanel_Statistics","""Stats"" in game GUI panel title","สถิติ"
"GameLobby_Label_Anonymous","""Anonymous"" - Game lobby anonymous mode identifier label","ไม่ระบุชื่อ"
"GameLobby_Label_Title","""Lobby"" - Game lobby default title while in lobby","ลอบบี้"
"GameSelect_Button_Ended","""Ended"" - Button text to filter out only ended games while in game select menu","เกมส์ที่จบแล้ว"
"GameSelect_Button_Ongoing","""Ongoing"" - Button text to filter out only currently ongoing games that you are in","เกมส์ที่กำลังเล่น"
"GameSelect_Button_Open","""Open"" - Button text to filter out only open lobbies that you can join while in game select menu","เกมส์ที่ยังว่าง"
"GameSelect_Button_Players","""Players"" - A label indicating how many players are in a game on the game-select screen.","ผู้เล่น"
"GameSelect_Label_Title","Title for the game select screen","ชื่อเกมส์"
"Login_Button_CreateAccount","""Create Account"" - button text on the login screen to create an account.","สร้างบัญชี"
"Login_Error_InputError","-- dont know what this is yet. Will be a warning message if the user inputs invalid characters or doesn't meet password requirements.","มีข้อผิดพลาด"
"Login_Info_NoAccount","""No Account?"" button which takes the user to an account registration page.","ไม่มีบัญชี"
"MainMenu_Button_Account","""Account"" button. Appears on the main menu for users to manage their account","บัญชี"
"MainMenu_Button_Help","""Help"" button. Appears on the main menu for users looking for extra help.","ช่วยเหลือ"
"MainMenu_Button_Multiplayer","""Multiplayer"" - Button text on the main menu. When clicked will take you to a screen to search for multiplayer games.","ผู้เล่นหลายคน"
"MainMenu_Button_Puzzles","""Puzzles"" - Button text. When clicked takes users to a puzzles page.","โจทย์ปัญหา"
"MainMenu_Button_Settings","""Settings"" button text. When clicked will take the users to a settings screen.","ตั้งค่า"
"Register_Error_InvalidEmail","""The email you have entered is invalid"" - Text that appears when a user doesn't enter a valid email when registering for an account.","อีเมล์ผิดพลาด"
"Register_Error_InvalidPassword","""The password does not meet the password requirements"" - Error when registering for an account","รหัสผ่านผิดพลาด"
"Register_Error_InvalidUsername","""Your username must be between 8-20 characters"" - Error when registering for an account","ชื่อบัญชีต้องอยู่ระหว่าง 8-20 ตัวอักษร"
"CreateGame_Button_CreateGame","""Create Game"" - button label, when clicked creates a new game","สร้างเกมส์"
"CreateGame_Title_CreateGame","""Create Game"" - The title of the create game screen","ชื่อเกมส์"
"GameSelect_Button_CreateGame","""Create Game"" - Button text, on the game creation screen, this button will officially create the game.","สร้างเกมส์"
"Game_ChatPanel_NewChat","""New Chat"" - Button text, in game button for creating a new chat group.","แชท"
"Game_ChatPanelTitle_Chats","""Chats"" - GUI title text for the chat panel in game.","แชท"
"Game_LaunchPanelButton_Launch","""Launch"" - Button text, Button will confirm launching an attack at your enemies.","โจมตี"
"GameLobby_Button_CancelGame","""Cancel Game"" - Button text. When pressed, closes the game lobby and cancels the match.","ยกเลิกเกมส์"
"GameLobby_Button_JoinGame","""Join game"" - Button text. Button to join a game","เข้าร่วมเกมส์"
"GameLobby_Button_LeaveGame","""Leave game"" - Button text. Button to leave a game lobby you have joined before it begins.","ออกจากเกมส์"
"GameLobby_Button_StartEarly","""Start Early"" - Button text. Button will start a game before the maximum number of players have joined. Only usable by the game's creator.","เริ่มเกมส์ทันที"
"Game_LaunchPanelTitle_LaunchSub","""Launch Sub"" - In game launch sub panel title.","เริ่มเดินทาง"
"GameLobby_Label_WaitingForPlayers","""Waiting for players"" - Game lobby label. Appears when the game is waiting for more players to join the game.","รอผู้เล่นคนอื่น"
